template_id,template,dof,cpt_class_representative,is_cpt_representative
166,"(1,1) + (1,1) + (3,1) + (3b,2) + (6,1)",51,"(1,1) + (1,1) + (3,1) + (3b,2) + (6,1)",True
167,"(1,1) + (1,1) + (3,1) + (3b,2) + (6b,1)",51,"(1,1) + (1,1) + (3,1) + (3b,2) + (6b,1)",True
168,"(1,1) + (1,1) + (3,1) + (6,2)",51,"(1,1) + (1,1) + (3,1) + (6,2)",True
169,"(1,1) + (1,1) + (3,1) + (6b,2)",51,"(1,1) + (1,1) + (3,1) + (6b,2)",True
170,"(1,1) + (1,1) + (3,2) + (3b,1) + (3b,1) + (3b,1)",51,"(1,1) + (1,1) + (3,1) + (3,1) + (3,1) + (3b,2)",False
171,"(1,1) + (1,1) + (3,2) + (3b,1) + (6,1)",51,"(1,1) + (1,1) + (3,1) + (3b,2) + (6b,1)",False
172,"(1,1) + (1,1) + (3,2) + (3b,1) + (6b,1)",51,"(1,1) + (1,1) + (3,1) + (3b,2) + (6,1)",False
173,"(1,1) + (1,1) + (3b,1) + (3b,1) + (3b,1) + (3b,2)",51,"(1,1) + (1,1) + (3,1) + (3,1) + (3,1) + (3,2)",False
174,"(1,1) + (1,1) + (3b,1) + (3b,2) + (6,1)",51,"(1,1) + (1,1) + (3,1) + (3,2) + (6b,1)",False
175,"(1,1) + (1,1) + (3b,1) + (3b,2) + (6b,1)",51,"(1,1) + (1,1) + (3,1) + (3,2) + (6,1)",False
176,"(1,1) + (1,1) + (3b,1) + (6,2)",51,"(1,1) + (1,1) + (3,1) + (6b,2)",False
177,"(1,1) + (1,1) + (3b,1) + (6b,2)",51,"(1,1) + (1,1) + (3,1) + (6,2)",False
178,"(1,1) + (1,2) + (3,2) + (8,1)",51,"(1,1) + (1,2) + (3,2) + (8,1)",True
179,"(1,1) + (1,2) + (3b,2) + (8,1)",51,"(1,1) + (1,2) + (3,2) + (8,1)",False
180,"(1,1) + (8,2)",51,"(1,1) + (8,2)",True
181,"(1,2) + (3,1) + (3,1) + (3,1) + (3,2)",51,"(1,2) + (3,1) + (3,1) + (3,1) + (3,2)",True
182,"(1,2) + (3,1) + (3,1) + (3,1) + (3b,2)",51,"(1,2) + (3,1) + (3,1) + (3,1) + (3b,2)",True
183,"(1,2) + (3,1) + (3,1) + (3,2) + (3b,1)",51,"(1,2) + (3,1) + (3,1) + (3,2) + (3b,1)",True
184,"(1,2) + (3,1) + (3,1) + (3b,1) + (3b,2)",51,"(1,2) + (3,1) + (3,1) + (3b,1) + (3b,2)",True
185,"(1,2) + (3,1) + (3,2) + (3b,1) + (3b,1)",51,"(1,2) + (3,1) + (3,1) + (3b,1) + (3b,2)",False
186,"(1,2) + (3,1) + (3,2) + (6,1)",51,"(1,2) + (3,1) + (3,2) + (6,1)",True
187,"(1,2) + (3,1) + (3,2) + (6b,1)",51,"(1,2) + (3,1) + (3,2) + (6b,1)",True
188,"(1,2) + (3,1) + (3b,1) + (3b,1) + (3b,2)",51,"(1,2) + (3,1) + (3,1) + (3,2) + (3b,1)",False
189,"(1,2) + (3,1) + (3b,2) + (6,1)",51,"(1,2) + (3,1) + (3b,2) + (6,1)",True
190,"(1,2) + (3,1) + (3b,2) + (6b,1)",51,"(1,2) + (3,1) + (3b,2) + (6b,1)",True
191,"(1,2) + (3,1) + (6,2)",51,"(1,2) + (3,1) + (6,2)",True
192,"(1,2) + (3,1) + (6b,2)",51,"(1,2) + (3,1) + (6b,2)",True
193,"(1,2) + (3,2) + (3b,1) + (3b,1) + (3b,1)",51,"(1,2) + (3,1) + (3,1) + (3,1) + (3b,2)",False
194,"(1,2) + (3,2) + (3b,1) + (6,1)",51,"(1,2) + (3,1) + (3b,2) + (6b,1)",False
195,"(1,2) + (3,2) + (3b,1) + (6b,1)",51,"(1,2) + (3,1) + (3b,2) + (6,1)",False
196,"(1,2) + (3b,1) + (3b,1) + (3b,1) + (3b,2)",51,"(1,2) + (3,1) + (3,1) + (3,1) + (3,2)",False
197,"(1,2) + (3b,1) + (3b,2) + (6,1)",51,"(1,2) + (3,1) + (3,2) + (6b,1)",False
198,"(1,2) + (3b,1) + (3b,2) + (6b,1)",51,"(1,2) + (3,1) + (3,2) + (6,1)",False
199,"(1,2) + (3b,1) + (6,2)",51,"(1,2) + (3,1) + (6b,2)",False
200,"(1,2) + (3b,1) + (6b,2)",51,"(1,2) + (3,1) + (6,2)",False
201,"(3,1) + (3,2) + (8,1)",51,"(3,1) + (3,2) + (8,1)",True
202,"(3,1) + (3b,2) + (8,1)",51,"(3,1) + (3b,2) + (8,1)",True
203,"(3,2) + (3b,1) + (8,1)",51,"(3,1) + (3b,2) + (8,1)",False
204,"(3b,1) + (3b,2) + (8,1)",51,"(3,1) + (3,2) + (8,1)",False
205,"(1,1) + (1,1) + (1,2) + (3,2) + (8,1)",54,"(1,1) + (1,1) + (1,2) + (3,2) + (8,1)",True
206,"(1,1) + (1,1) + (1,2) + (3b,2) + (8,1)",54,"(1,1) + (1,1) + (1,2) + (3,2) + (8,1)",False
207,"(1,1) + (1,1) + (8,2)",54,"(1,1) + (1,1) + (8,2)",True
208,"(1,1) + (1,2) + (3,1) + (3,1) + (3,1) + (3,2)",54,"(1,1) + (1,2) + (3,1) + (3,1) + (3,1) + (3,2)",True
209,"(1,1) + (1,2) + (3,1) + (3,1) + (3,1) + (3b,2)",54,"(1,1) + (1,2) + (3,1) + (3,1) + (3,1) + (3b,2)",True
210,"(1,1) + (1,2) + (3,1) + (3,1) + (3,2) + (3b,1)",54,"(1,1) + (1,2) + (3,1) + (3,1) + (3,2) + (3b,1)",True
211,"(1,1) + (1,2) + (3,1) + (3,1) + (3b,1) + (3b,2)",54,"(1,1) + (1,2) + (3,1) + (3,1) + (3b,1) + (3b,2)",True
212,"(1,1) + (1,2) + (3,1) + (3,2) + (3b,1) + (3b,1)",54,"(1,1) + (1,2) + (3,1) + (3,1) + (3b,1) + (3b,2)",False
213,"(1,1) + (1,2) + (3,1) + (3,2) + (6,1)",54,"(1,1) + (1,2) + (3,1) + (3,2) + (6,1)",True
214,"(1,1) + (1,2) + (3,1) + (3,2) + (6b,1)",54,"(1,1) + (1,2) + (3,1) + (3,2) + (6b,1)",True
215,"(1,1) + (1,2) + (3,1) + (3b,1) + (3b,1) + (3b,2)",54,"(1,1) + (1,2) + (3,1) + (3,1) + (3,2) + (3b,1)",False
216,"(1,1) + (1,2) + (3,1) + (3b,2) + (6,1)",54,"(1,1) + (1,2) + (3,1) + (3b,2) + (6,1)",True
217,"(1,1) + (1,2) + (3,1) + (3b,2) + (6b,1)",54,"(1,1) + (1,2) + (3,1) + (3b,2) + (6b,1)",True
218,"(1,1) + (1,2) + (3,1) + (6,2)",54,"(1,1) + (1,2) + (3,1) + (6,2)",True
219,"(1,1) + (1,2) + (3,1) + (6b,2)",54,"(1,1) + (1,2) + (3,1) + (6b,2)",True
220,"(1,1) + (1,2) + (3,2) + (3b,1) + (3b,1) + (3b,1)",54,"(1,1) + (1,2) + (3,1) + (3,1) + (3,1) + (3b,2)",False
221,"(1,1) + (1,2) + (3,2) + (3b,1) + (6,1)",54,"(1,1) + (1,2) + (3,1) + (3b,2) + (6b,1)",False
222,"(1,1) + (1,2) + (3,2) + (3b,1) + (6b,1)",54,"(1,1) + (1,2) + (3,1) + (3b,2) + (6,1)",False
223,"(1,1) + (1,2) + (3b,1) + (3b,1) + (3b,1) + (3b,2)",54,"(1,1) + (1,2) + (3,1) + (3,1) + (3,1) + (3,2)",False
224,"(1,1) + (1,2) + (3b,1) + (3b,2) + (6,1)",54,"(1,1) + (1,2) + (3,1) + (3,2) + (6b,1)",False
225,"(1,1) + (1,2) + (3b,1) + (3b,2) + (6b,1)",54,"(1,1) + (1,2) + (3,1) + (3,2) + (6,1)",False
226,"(1,1) + (1,2) + (3b,1) + (6,2)",54,"(1,1) + (1,2) + (3,1) + (6b,2)",False
227,"(1,1) + (1,2) + (3b,1) + (6b,2)",54,"(1,1) + (1,2) + (3,1) + (6,2)",False
228,"(1,1) + (3,1) + (3,2) + (8,1)",54,"(1,1) + (3,1) + (3,2) + (8,1)",True
229,"(1,1) + (3,1) + (3b,2) + (8,1)",54,"(1,1) + (3,1) + (3b,2) + (8,1)",True
230,"(1,1) + (3,2) + (3b,1) + (8,1)",54,"(1,1) + (3,1) + (3b,2) + (8,1)",False
231,"(1,1) + (3b,1) + (3b,2) + (8,1)",54,"(1,1) + (3,1) + (3,2) + (8,1)",False
232,"(1,2) + (8,2)",54,"(1,2) + (8,2)",True
233,"(3,1) + (3,1) + (3,2) + (6,1)",54,"(3,1) + (3,1) + (3,2) + (6,1)",True
234,"(3,1) + (3,1) + (3,2) + (6b,1)",54,"(3,1) + (3,1) + (3,2) + (6b,1)",True
235,"(3,1) + (3,1) + (3b,2) + (6,1)",54,"(3,1) + (3,1) + (3b,2) + (6,1)",True
236,"(3,1) + (3,1) + (3b,2) + (6b,1)",54,"(3,1) + (3,1) + (3b,2) + (6b,1)",True
237,"(3,1) + (3,1) + (6,2)",54,"(3,1) + (3,1) + (6,2)",True
238,"(3,1) + (3,1) + (6b,2)",54,"(3,1) + (3,1) + (6b,2)",True
239,"(3,1) + (3,2) + (3b,1) + (6,1)",54,"(3,1) + (3,2) + (3b,1) + (6,1)",True
240,"(3,1) + (3,2) + (3b,1) + (6b,1)",54,"(3,1) + (3,2) + (3b,1) + (6b,1)",True
241,"(3,1) + (3b,1) + (3b,2) + (6,1)",54,"(3,1) + (3,2) + (3b,1) + (6b,1)",False
242,"(3,1) + (3b,1) + (3b,2) + (6b,1)",54,"(3,1) + (3,2) + (3b,1) + (6,1)",False
243,"(3,1) + (3b,1) + (6,2)",54,"(3,1) + (3b,1) + (6,2)",True
244,"(3,1) + (3b,1) + (6b,2)",54,"(3,1) + (3b,1) + (6,2)",False
