template_id,template,dof,first_failing_filter_or_status
245,"(3,2) + (3b,1) + (3b,1) + (6,1)",54,F4_SU3_cubic
246,"(3,2) + (3b,1) + (3b,1) + (6b,1)",54,F4_SU3_cubic
247,"(3,2) + (6,1) + (6,1)",54,F1_SU3_AF
248,"(3,2) + (6,1) + (6b,1)",54,F1_SU3_AF
249,"(3,2) + (6b,1) + (6b,1)",54,F1_SU3_AF
250,"(3b,1) + (3b,1) + (3b,2) + (6,1)",54,F4_SU3_cubic
251,"(3b,1) + (3b,1) + (3b,2) + (6b,1)",54,F4_SU3_cubic
252,"(3b,1) + (3b,1) + (6,2)",54,F1_SU3_AF
253,"(3b,1) + (3b,1) + (6b,2)",54,F1_SU3_AF
254,"(3b,2) + (6,1) + (6,1)",54,F1_SU3_AF
255,"(3b,2) + (6,1) + (6b,1)",54,F1_SU3_AF
256,"(3b,2) + (6b,1) + (6b,1)",54,F1_SU3_AF
257,"(6,1) + (6,2)",54,F1_SU3_AF
258,"(6,1) + (6b,2)",54,F1_SU3_AF
259,"(6,2) + (6b,1)",54,F1_SU3_AF
260,"(6b,1) + (6b,2)",54,F1_SU3_AF
261,"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3,1) + (3,2)",57,F4_SU3_cubic
262,"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3,1) + (3b,2)",57,F4_SU3_cubic
263,"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3,2) + (3b,1)",57,F4_SU3_cubic
264,"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3b,1) + (3b,2)",57,F4_SU3_cubic
265,"(1,1) + (1,1) + (1,2) + (3,1) + (3,2) + (3b,1) + (3b,1)",57,F4_SU3_cubic
266,"(1,1) + (1,1) + (1,2) + (3,1) + (3,2) + (6,1)",57,F4_SU3_cubic
267,"(1,1) + (1,1) + (1,2) + (3,1) + (3,2) + (6b,1)",57,F4_SU3_cubic
268,"(1,1) + (1,1) + (1,2) + (3,1) + (3b,1) + (3b,1) + (3b,2)",57,F4_SU3_cubic
